"Hot Spots - Method";"Self Time [%]";"Self Time";"Total Time";"Invocations"
"ar.edu.ungs.yamiko.ga.toolkit.IntegerStaticHelper.create(ar.edu.ungs.yamiko.ga.domain.Chromosome)";"0.004162252";"111.0 ms";"147.234 ms";"208000"
"ar.edu.ungs.yamiko.problems.vrp.CVRPTWSimpleFitnessEvaluator.execute(ar.edu.ungs.yamiko.ga.domain.Individual)";"0.00407402";"108.647 ms";"49859.282 ms";"215174"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1$$anonfun$apply$mcVI$sp$1$$anonfun$apply$mcV$sp$1$$anonfun$1.<init>(ar.edu.ungs.yaf.vrp.BestCostMatrix..anonfun.insertBC.1..anonfun.apply.mcVI.sp.1..anonfun.apply.mcV.sp.1, scala.Tuple2)";"0.0039474647";"105.272 ms";"105.27 ms";"4062603"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$1.apply(Object)";"0.0038805688";"103.488 ms";"2462.681 ms";"459015"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1$$anonfun$apply$mcVI$sp$1.<init>(ar.edu.ungs.yaf.vrp.BestCostMatrix..anonfun.insertBC.1, int)";"0.0036965674";"98.581 ms";"98.58 ms";"2310713"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$2$$anonfun$apply$4.apply(ar.edu.ungs.yamiko.ga.domain.Individual)";"0.0036386333";"97.036 ms";"1959.65 ms";"207999"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesModelFromRoute$1.apply(Object)";"0.0030993028";"82.653 ms";"114.129 ms";"918041"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$2$$anonfun$apply$4.apply(Object)";"0.0028672293";"76.464 ms";"2036.122 ms";"208000"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesModelFromRoute$2.apply(Object)";"0.002862917";"76.349 ms";"8710.967 ms";"918041"
"ar.edu.ungs.yamiko.ga.toolkit.SearchHelper.binarySearch(double[], double)";"0.0027679352";"73.816 ms";"73.815 ms";"207987"
"akka.actor.Scheduler$$anon$4.run()";"0.002752411";"73.402 ms";"73.402 ms";"2076"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesModelFromRoute$2.apply(ar.edu.ungs.yamiko.problems.vrp.Route)";"0.0026405551";"70.419 ms";"8634.42 ms";"918034"
"ar.edu.ungs.yamiko.ga.operators.impl.DescendantModifiedAcceptLigthEvaluator$$anonfun$execute$1.apply(Object)";"0.0024056316";"64.154 ms";"95.783 ms";"1159244"
"ar.edu.ungs.yamiko.ga.domain.impl.DistributedPopulation.replacePopulation(scala.collection.mutable.ListBuffer)";"0.0023430479";"62.485 ms";"62.483 ms";"13"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$2.apply(Object)";"0.0023145122";"61.724 ms";"110319.938 ms";"104000"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$6.apply(ar.edu.ungs.yamiko.ga.domain.impl.DistributedPopulation)";"0.002252041";"60.058 ms";"136.505 ms";"13"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$2$$anonfun$apply$3.apply(Object)";"0.002148772";"57.304 ms";"49599.812 ms";"208000"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelper.replaceSequence(ar.edu.ungs.yamiko.ga.domain.Individual, java.util.List, java.util.List)";"0.0020135175";"53.697 ms";"53.696 ms";"1838"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesInOneList$1.apply(Object)";"0.0019311724";"51.501 ms";"183.634 ms";"918041"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1$$anonfun$apply$mcVI$sp$1$$anonfun$apply$mcV$sp$1.<init>(ar.edu.ungs.yaf.vrp.BestCostMatrix..anonfun.insertBC.1..anonfun.apply.mcVI.sp.1)";"0.0019015492";"50.711 ms";"50.71 ms";"2310714"
"ar.edu.ungs.yamiko.ga.toolkit.StaticHelper.randomDouble(double)";"0.0018877875";"50.344 ms";"50.34 ms";"416000"
"ar.edu.ungs.yamiko.ga.toolkit.IntegerStaticHelper.create(String, Integer[])";"0.0018832503";"50.223 ms";"211.657 ms";"208000"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesInOneList$2$$anonfun$apply$1.<init>(ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala..anonfun.getRoutesInOneList.2)";"0.0018570394";"49.524 ms";"49.523 ms";"913144"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$4$$anonfun$apply$5.apply(ar.edu.ungs.yamiko.ga.domain.Individual)";"0.0018145919";"48.392 ms";"48.392 ms";"5342594"
"io.netty.util.concurrent.ScheduledFutureTask.run()";"0.0018016552";"48.047 ms";"55.12 ms";"14940"
