"Hot Spots - Method";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"scala.collection.IterableLike$class.foreach()";"0.0";"0.0 ms";"0.0 ms";"523508.611 ms";"494598.845 ms";"2591"
"ar.edu.ungs.yamiko.problems.vrp.CVRPTWSimpleFitnessEvaluator.execute()";"0.0";"0.0 ms";"0.0 ms";"373104.124 ms";"354777.36 ms";"1848"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$.insertBC()";"0.0";"0.0 ms";"0.0 ms";"296413.588 ms";"289201.544 ms";"1467"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1.apply$mcVI$sp()";"0.0";"0.0 ms";"0.0 ms";"295784.484 ms";"288921.413 ms";"1463"
"scala.util.control.Breaks.breakable()";"0.0";"0.0 ms";"0.0 ms";"294839.387 ms";"288734.304 ms";"1458"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1$$anonfun$apply$mcVI$sp$1.apply$mcV$sp()";"0.0";"0.0 ms";"0.0 ms";"294839.387 ms";"288734.304 ms";"1458"
"ar.edu.ungs.yamiko.problems.vrp.utils.ScalaAdaptor$$anonfun$toScala$2.apply()";"0.0";"0.0 ms";"0.0 ms";"66031.055 ms";"61498.47 ms";"606"
"scala.collection.TraversableOnce$$anonfun$maxBy$1.apply()";"0.0";"0.0 ms";"0.0 ms";"47748.781 ms";"44618.278 ms";"480"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$.getRoutesModelFromRoute()";"0.0";"0.0 ms";"0.0 ms";"80101.804 ms";"74961.972 ms";"394"
"scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply()";"0.0";"0.0 ms";"0.0 ms";"77965.374 ms";"72825.542 ms";"382"
"ar.edu.ungs.yamiko.problems.vrp.utils.ScalaAdaptor$.toScala()";"0.0";"0.0 ms";"0.0 ms";"74929.15 ms";"70106.907 ms";"368"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesInOneList$2.apply()";"0.0";"0.0 ms";"0.0 ms";"28181.699 ms";"22217.414 ms";"261"
"scala.collection.TraversableOnce$class.maxBy()";"0.0";"0.0 ms";"0.0 ms";"47748.781 ms";"44618.278 ms";"240"
"ar.edu.ungs.yamiko.ga.toolkit.SearchHelper.binaryRangeSearch()";"0.0";"0.0 ms";"0.0 ms";"36416.914 ms";"35958.695 ms";"182"
"ar.edu.ungs.yamiko.ga.toolkit.SearchHelper.binarySearch()";"0.0";"0.0 ms";"0.0 ms";"35958.695 ms";"35958.695 ms";"180"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$1.apply()";"0.0";"0.0 ms";"0.0 ms";"20064.7 ms";"17002.002 ms";"169"
"ar.edu.ungs.yamiko.problems.vrp.RoutesMorphogenesisAgent.develop()";"0.0";"0.0 ms";"0.0 ms";"30794.895 ms";"30588.021 ms";"158"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$2.apply()";"0.0";"0.0 ms";"0.0 ms";"13873.066 ms";"13873.066 ms";"145"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$.getRoutesInOneList()";"0.0";"0.0 ms";"0.0 ms";"29723.287 ms";"23361.961 ms";"140"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesInOneList$2$$anonfun$apply$1.apply()";"0.0";"0.0 ms";"0.0 ms";"19691.092 ms";"14260.086 ms";"129"
"java.util.concurrent.ThreadPoolExecutor.runWorker()";"0.0";"0.0 ms";"0.0 ms";"1.8562936515E7 ms";"1.8496475614E7 ms";"128"
"org.apache.spark.scheduler.Task.run()";"0.0";"0.0 ms";"0.0 ms";"1.8562936515E7 ms";"1.8496475614E7 ms";"128"
"org.apache.spark.executor.Executor$TaskRunner.run()";"0.0";"0.0 ms";"0.0 ms";"1.8562936515E7 ms";"1.8496475614E7 ms";"128"
"java.lang.Thread.run()";"0.0";"0.0 ms";"0.0 ms";"1.8562936515E7 ms";"1.8496475614E7 ms";"128"
"java.util.concurrent.ThreadPoolExecutor$Worker.run()";"0.0";"0.0 ms";"0.0 ms";"1.8562936515E7 ms";"1.8496475614E7 ms";"128"
"org.apache.spark.scheduler.ResultTask.runTask()";"0.0";"0.0 ms";"0.0 ms";"1.8562936515E7 ms";"1.8496475614E7 ms";"128"
"ar.edu.ungs.yamiko.ga.domain.impl.BasicPhenotype.<init>()";"0.0";"0.0 ms";"0.0 ms";"21520.175 ms";"21520.175 ms";"111"
"java.util.HashMap.hash()";"0.0";"0.0 ms";"0.0 ms";"21520.175 ms";"21520.175 ms";"111"
"ar.edu.ungs.yamiko.ga.domain.impl.BasicChromosome.hashCode()";"0.0";"0.0 ms";"0.0 ms";"21520.175 ms";"21520.175 ms";"111"
"ar.edu.ungs.yamiko.problems.vrp.GeodesicalCustomer.isValidTimeWindow()";"0.0";"0.0 ms";"0.0 ms";"21979.333 ms";"14874.966 ms";"110"
